StockCode, Year, Month, NetRevenue, NetQuantity, CustomerFrequency, ProductFrequency, NetRevenue_LastMonth, NetRevenue_MA3, NextMonthRevenue
10002,2011,3,-2.9755118716245716,-2.1276708810054608,-0.2605478231675338,-0.9138539238446859,-1.6974297441755706,-3.3876958745579024,-1.1767296181778295
10080,2011,8,-1.948256237648056,3.3357521048942425,-0.30792706822910315,-0.9971251332759684,-1.104442374956083,-0.6830182905549104,-1.948256237648056
10080,2011,9,-1.948256237648056,3.3357521048942425,-0.3464915700234038,-0.9971251332759684,-1.948256237648056,-1.0930447199173476,-2.3082348430943997
10080,2011,10,-2.3082348430943997,-2.2212066804217665,-0.3648556184968803,-0.9971251332759684,-1.948256237648056,-1.6669849500840652,-2.900665313783408
10120,2011,5,-1.5906147920641343,-1.6019075500014968,-0.3464915700234038,-0.9733333591527448,-2.923942463047032,-2.1617705295784577,-0.7543753540418704
10120,2011,7,-0.7543753540418704,-0.3770929376462978,-0.4676942899483488,-0.9733333591527448,-1.5906147920641343,-1.6705484960239332,-1.251463587002504
10120,2011,8,-1.251463587002504,1.9100822452210933,-0.3024178536870602,-0.9733333591527448,-0.7543753540418704,-1.756310869717679,-3.1344501075680435
10120,2011,9,-3.1344501075680435,-2.7194027144550503,-0.3464915700234038,-0.9733333591527448,-1.251463587002504,-1.1988179110361694,-1.5087507080837408
10120,2011,10,-1.5087507080837408,-0.7541858752925956,-0.3905652863597474,-0.9733333591527448,-3.1344501075680435,-1.713429682870806,-5.929749010074458
10120,2011,11,-5.929749010074458,-1.92681563368751,0.22371213507804158,-0.9733333591527448,-1.5087507080837408,-1.9648881342180962,-0.7426804849018143
10125,2011,4,-0.9955154410152025,4.0348033862454775,-0.2326344694878495,-0.8781662626598504,-3.442195863441845,-2.593741179662548,-3.267661445368982
10125,2011,5,-3.267661445368982,-1.778145240329844,-0.33914595063401326,-0.8781662626598504,-0.9955154410152025,-2.2297892251585263,-1.0103265233051544
10125,2011,6,-1.0103265233051544,-0.3908765861316382,-0.3134362827711461,-0.8781662626598504,-3.267661445368982,-2.568457583275343,-2.487337038427582
10125,2011,7,-2.487337038427582,3.509040055241513,-0.2693625664348025,-0.8781662626598504,-1.0103265233051544,-1.757834469896446,0.15682020756206333
10125,2011,8,0.15682020756206333,4.788989261538074,-0.2803809955188884,-0.8781662626598504,-2.487337038427582,-2.255108335700573,0.8668658339226194
10125,2011,9,0.8668658339226194,6.605535707342861,-0.3464915700234038,-0.8781662626598504,0.15682020756206333,-1.1136144513902244,-0.8845800444334191
10125,2011,10,-0.8845800444334191,2.1247211410243843,-0.3575099991074897,-0.8781662626598504,0.8668658339226194,-0.48788366564763314,-0.25294452185389454
10125,2011,11,-0.25294452185389454,1.5467729560601355,-0.3464915700234038,-0.8781662626598504,-0.8845800444334191,0.04636866568375453,-0.39495364712600584
10133,2011,3,-1.7610287656666501,3.173298063051236,-0.2064001145257402,-0.6937800132048674,-2.312802620354719,-3.235065124258547,-0.11093539658178325
10133,2011,4,-0.11093539658178325,1.9100822452210933,-0.3575099991074897,-0.6937800132048673,-1.7610287656666501,-1.7615846564384683,-1.6892984209753827
10133,2011,5,-1.6892984209753827,0.06596850244562469,0.8600264146840024,-0.6937800132048673,-0.11093539658178325,-1.3949222608677176,-13.796622333739357
10133,2011,6,-13.796622333739357,21.62725408787122,-0.17019670467802941,-0.6937800132048673,-1.6892984209753827,-1.187087527741272,-13.84852648609038
10133,2011,7,-13.84852648609038,31.530140694633378,-9.970569245326688e-05,-0.6937800132048673,-13.796622333739357,-5.198952050432174,-7.503440738019194
10133,2011,8,-7.503440738019194,28.896389611071445,-0.2704119406332869,-0.6937800132048673,-13.84852648609038,-9.778149080268372,-2.193069436301762
10135,2011,3,-2.7162223344543963,1.3291843202757676,0.23993371122961252,-0.7086498720318821,-0.6349799370383794,-2.9449615428272016,-1.9758790094150043
10135,2011,4,-1.9758790094150043,-1.27994920629656,-0.2341035933657276,-0.7086498720318821,-2.7162223344543963,-2.034653592492588,-1.0688008690054354
10135,2011,5,-1.0688008690054354,-0.9963920680665674,0.9096093455623891,-0.7086498720318821,-1.9758790094150043,-1.7756937603025935,-2.6741202008949974
10135,2011,6,-2.6741202008949974,-1.2001970553655952,-0.05174859202410591,-0.7086498720318821,-1.0688008690054354,-1.9203007376249452,-0.4015298870272277
10135,2011,7,-0.4015298870272277,3.6163595031431583,-0.4258242594288223,-0.7086498720318821,-2.6741202008949974,-1.9062666931051455,0.9877128150365337
10135,2011,8,0.9877128150365337,3.9412675868291718,-0.36301921364953266,-0.7086498720318821,-0.4015298870272277,-1.38148365230922,-2.042932011105445
10135,2011,9,-2.042932011105445,-0.6084652219160063,-0.2448771684701672,-0.7086498720318821,0.9877128150365337,-0.695979090961897,-5.094404237632138
10135,2011,10,-5.094404237632138,-4.6600019966279005,-0.20664227780231356,-0.7086498720318821,-2.042932011105445,-0.48558302769871275,-1.5607734960032165
10135,2011,11,-1.5607734960032165,3.1703483230701592,0.05705839518124231,-0.7086498720318821,-5.094404237632138,-2.0498744779003495,1.2084667878631608
