StockCode, Description, Sales, Returns, NetQuantity, Revenue_Sales, Revenue_Returns, NetRevenue, NumTransactions, NumUniqueCustomers, KMeans_Cluster, DBSCAN_Cluster
10002, INFLATABLE POLITICAL GLOBE ,16.86364929286868,-5.092148238158589,17.126756393105246,-15.268637454862725,-4.7419870558121175,-14.315329113476109,49,40,0,0
10080, GROOVY CACTUS INFLATABLE,12.034169226081183,-2.1823492449251094,12.063059213280411,-11.666889576030675,-2.032280166776622,-11.154467503838651,21,19,0,0
10120, DOGGY RUBBER,-6.4122035694162065,-3.0137203858489605,-5.970468239876218,-22.229047565956353,-2.806482135072478,-21.397395632471937,29,25,0,0
10123C, HEARTS WRAPPING TAPE ,-2.4186328763531995,-0.3117641778464442,-2.342309776808752,-2.3445011871107497,-0.290325738110946,-2.257557076820823,3,3,0,0
10124A, SPOTS ON RED BOOKCOVER TAPE,-3.086110417620251,-0.5196069630774071,-2.975392555714362,-3.8334176398375868,-0.48387623018491,-3.690012686228959,5,5,0,0
10124G,ARMY CAMO BOOKCOVER TAPE,-1.9512231540352434,-0.4156855704619256,-1.871681039746149,-2.966464464735465,-0.387100984147928,-2.8537732482066946,4,4,0,0
10125,MINI FUNKY DESIGN TAPES,41.15590586455289,-6.547047734775329,41.15440459170765,-17.227816931279815,-6.096840500329866,-16.050856159033202,61,49,0,0
10133,COLOURING PENCILS BROWN TUBE,100.63016085018839,-1.7177724561322594,99.06238743027538,-53.066011029287814,-10.18047629468475,-50.60811695015015,123,101,0,0
10135,COLOURING PENCILS BROWN TUBE,45.859116691235805,-11.364111230300573,46.30278835100556,-26.211720075754133,-11.100267926859258,-24.17336707111977,118,92,0,0
11001,ASSTD DESIGN RACING CAR PEN,30.895481082636465,12.745629813561296,28.961393062097027,20.841023079754972,3.561331603897364,19.935032214931276,67,45,0,0
15030,FAN BLACK FRAME ,0.40666013232294174,-1.3509781040012583,0.5474311480124912,-9.14676655016612,-1.2580781984807659,-8.790539784420384,12,11,0,0
15034,PAPER POCKET TRAVELING FAN ,126.73733797275813,47.66317364650342,119.30923739533057,-66.1343761976017,-6.953905715290044,-63.84958775870678,95,70,0,0
15036,ASSORTED COLOURS SILK FAN,414.58244650189,23.345567774480767,404.7936454363352,-1.0950188943259094,-15.52093086482629,1.0342957786579217,328,194,3,-1
15039,SANDALWOOD FAN,16.00262842707728,13.436400126656567,14.252783805330376,-27.79587828224195,-0.43971311998440954,-27.172682757778627,73,58,0,0
15044A,PINK PAPER PARASOL ,-30.740866187706636,-7.103334133065835,-29.427032784896575,0.011807136537303253,-6.435127066636125,0.8851981362886985,79,53,0,0
15044B,BLUE PAPER PARASOL ,-17.400855482594704,-3.9856923546013934,-16.661007498863807,1.2269700272587003,-3.5318696855266647,1.681581174529368,49,37,0,0
15044C,PURPLE PAPER PARASOL,-32.15438990919981,-3.123758691488261,-31.251463399224548,-11.299065526395076,-2.6978805658868166,-10.703738624132104,62,43,0,0
15044D,RED PAPER PARASOL,-20.40839726125589,-5.581192679046715,-19.441444287222374,9.319019411853898,-5.00199242342789,9.809165366715048,75,54,0,0
15056BL,EDWARDIAN PARASOL BLACK,-58.11298338844841,-5.312246892367005,-56.51760068722561,380.24873026827737,21.748736983076352,369.58742422936604,296,142,1,-1
15056N,EDWARDIAN PARASOL NATURAL,-65.9638221714247,-12.452260460645942,-63.44997458109458,510.02098817687164,22.966029368869314,496.563576150763,384,184,2,-1
